"@song-title","@song-title-eng","@genre-name","@normal-level","@normal-constant","@normal-included-newer","@hard-level","@hard-constant","@hard-included-newer","@expert-level","@expert-constant","@expert-included-newer","@inferno-level","@inferno-constant","@inferno-included-newer"
"ルーンファクトリー４スペシャルより「この想いを乗せて」","'Kono Omoi wo Nosete' from Rune Factory 4 Special","VARIETY","NORMAL 1",1.0,false,"HARD 5",5.6,false,"EXPERT 9",9.0,false,"INFERNO 0",0.0,
"cloud IX","","VARIETY","NORMAL 4",4.0,true,"HARD 10",10.5,true,"EXPERT 13",13.6,true,"INFERNO 0",0.0,
"神","Kami","ORIGINAL","NORMAL 6",6.0,true,"HARD 10+",10.9,true,"EXPERT 13+",13.7,true,"INFERNO 14",14.1,true
"Ouvertüre","Ouverture","ORIGINAL","NORMAL 3",3.0,true,"HARD 9",9.6,true,"EXPERT 13",13.3,true,"INFERNO 14",14.0,true
"Love Kills U","","ORIGINAL","NORMAL 4",4.0,true,"HARD 8",8.4,true,"EXPERT 12",12.5,true,"INFERNO 0",0.0,
"Kira☆Kira☆Night","","ORIGINAL","NORMAL 5",5.0,true,"HARD 9",9.6,true,"EXPERT 12+",12.9,true,"INFERNO 0",0.0,
"YOG","","ORIGINAL","NORMAL 4",4.0,true,"HARD 9+",9.7,true,"EXPERT 13+",13.8,true,"INFERNO 0",0.0,
"Lost Illusion","","ORIGINAL","NORMAL 4",4.0,false,"HARD 10+",10.7,false,"EXPERT 12+",12.7,false,"INFERNO 0",0.0,
"Cauliflower","","ORIGINAL","NORMAL 4",4.0,false,"HARD 8+",8.7,false,"EXPERT 12+",12.8,false,"INFERNO 0",0.0,
"Purple Skies","","ORIGINAL","NORMAL 3",3.0,false,"HARD 8",8.4,false,"EXPERT 12",12.4,false,"INFERNO 0",0.0,
"Lhaksha","Laksha/Laksa","ORIGINAL","NORMAL 3",3.0,false,"HARD 9",9.6,false,"EXPERT 12",12.5,false,"INFERNO 0",0.0,
"LIN NE KRO NE feat. lasah","","ORIGINAL","NORMAL 4",4.0,false,"HARD 9",9.0,false,"EXPERT 13+",13.7,false,"INFERNO 0",0.0,
"フリーフォール","Free Fall","ORIGINAL","NORMAL 4",4.0,false,"HARD 8+",8.8,false,"EXPERT 12+",12.7,false,"INFERNO 0",0.0,
"猫娘","Neko Musume","ORIGINAL","NORMAL 6",6.0,false,"HARD 10",10.6,false,"EXPERT 13+",13.7,false,"INFERNO 0",0.0,
"QiXiN MAdN3ss 2153","KISHIN MADNESS 2153","ORIGINAL","NORMAL 6",6.0,false,"HARD 11",11.0,false,"EXPERT 13+",13.9,false,"INFERNO 0",0.0,
"ARTEMiS","","ORIGINAL","NORMAL 4",4.0,false,"HARD 10",10.6,false,"EXPERT 13+",13.9,false,"INFERNO 0",0.0,
"with U","","ORIGINAL","NORMAL 3",3.0,false,"HARD 7+",7.9,false,"EXPERT 11+",11.8,false,"INFERNO 13",13.6,false
"Tell Me","","ORIGINAL","NORMAL 3",3.0,false,"HARD 7+",7.9,false,"EXPERT 11+",11.8,false,"INFERNO 0",0.0,
"LETHAL;WEAPON","","ORIGINAL","NORMAL 3",3.0,false,"HARD 8",8.0,false,"EXPERT 12+",12.9,false,"INFERNO 0",0.0,
"THE MUZZLE FACING","","ORIGINAL","NORMAL 4",4.0,false,"HARD 9+",9.8,false,"EXPERT 13+",13.8,false,"INFERNO 0",0.0,
"GASHATT","","ORIGINAL","NORMAL 4",4.0,false,"HARD 10",10.1,false,"EXPERT 12",12.4,false,"INFERNO 0",0.0,
"Demon's Rave","","ORIGINAL","NORMAL 5",5.0,false,"HARD 10",10.0,false,"EXPERT 12+",12.8,false,"INFERNO 0",0.0,
"jacaranda","","ORIGINAL","NORMAL 4",4.0,false,"HARD 9",9.3,false,"EXPERT 12+",12.7,false,"INFERNO 0",0.0,
"CHECKER FLAG","","ORIGINAL","NORMAL 3",3.0,false,"HARD 7",7.2,false,"EXPERT 12+",12.9,false,"INFERNO 0",0.0,
"Stratoliner","","ORIGINAL","NORMAL 4",4.0,false,"HARD 9+",9.8,false,"EXPERT 12+",12.8,false,"INFERNO 0",0.0,
"Utopia feat. shully","","ORIGINAL","NORMAL 5",5.0,false,"HARD 9",9.4,false,"EXPERT 12",12.6,false,"INFERNO 0",0.0,
"Let you DIVE!","","ORIGINAL","NORMAL 3",3.0,false,"HARD 9+",9.7,false,"EXPERT 11+",11.8,false,"INFERNO 13",13.4,false
"DANGEROOOOUS JUNGLE","","HARDCORE TANO*C","NORMAL 3",3.0,true,"HARD 10",10.6,true,"EXPERT 13",13.4,true,"INFERNO 14",14.1,true
"Dimension Hacker","","HARDCORE TANO*C","NORMAL 4",4.0,true,"HARD 10+",10.8,true,"EXPERT 13",13.4,true,"INFERNO 14",14.1,true
"EPHMR","EPHEMERA","HARDCORE TANO*C","NORMAL 4",4.0,true,"HARD 10+",10.7,true,"EXPERT 13",13.2,true,"INFERNO 14",14.1,true
"クリムゾン帝王","Crimson Teio","HARDCORE TANO*C","NORMAL 8",8.0,true,"HARD 11+",11.7,true,"EXPERT 13+",13.7,true,"INFERNO 14",14.2,true
"Break Through Myself feat. Risa Yuzuki","","HARDCORE TANO*C","NORMAL 4",4.0,true,"HARD 10",10.2,true,"EXPERT 13",13.4,true,"INFERNO 0",0.0,
"D3LTA QOMPLEX","DELTA COMPLEX","HARDCORE TANO*C","NORMAL 4",4.0,true,"HARD 9+",9.9,true,"EXPERT 13",13.1,true,"INFERNO 0",0.0,
"Chobit Flavor","","HARDCORE TANO*C","NORMAL 3",3.0,true,"HARD 9",9.2,true,"EXPERT 12",12.6,true,"INFERNO 0",0.0,
"Machinery of Avoid","","HARDCORE TANO*C","NORMAL 4",4.0,true,"HARD 8",8.5,true,"EXPERT 12+",12.7,true,"INFERNO 0",0.0,
"Datamania (tpz Overheat Remix)","","HARDCORE TANO*C","NORMAL 3",3.0,true,"HARD 7+",7.8,true,"EXPERT 12",12.6,true,"INFERNO 0",0.0,
"超MANJIラッシュ","Cho MANJI Rush","HARDCORE TANO*C","NORMAL 5",5.0,true,"HARD 9+",9.7,true,"EXPERT 13+",13.7,true,"INFERNO 0",0.0,
"Meta-Mysteria","","HARDCORE TANO*C","NORMAL 6",6.0,true,"HARD 11",11.0,true,"EXPERT 14",14.1,true,"INFERNO 0",0.0,
"Eternal Ending","","HARDCORE TANO*C","NORMAL 5",5.0,false,"HARD 10+",10.9,false,"EXPERT 13",13.4,false,"INFERNO 0",0.0,
"EVE","","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 9",9.2,false,"EXPERT 13",13.1,false,"INFERNO 0",0.0,
"eden","","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 10",10.5,false,"EXPERT 13",13.3,false,"INFERNO 14",14.1,false
"Silentphobia","","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 10",10.3,false,"EXPERT 13",13.6,false,"INFERNO 14",14.1,false
"やけにインザレイン feat. 小林私","Yake-ni in the Rain feat. Kobayashi Watashi","HARDCORE TANO*C","NORMAL 3",3.0,false,"HARD 10",10.3,false,"EXPERT 13",13.1,false,"INFERNO 0",0.0,
"Traveller feat.moimoi","","HARDCORE TANO*C","NORMAL 2",2.0,false,"HARD 8",8.4,false,"EXPERT 12",12.4,false,"INFERNO 0",0.0,
"FLVSH OUT","FLASH OUT","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 9+",9.8,false,"EXPERT 13",13.5,false,"INFERNO 0",0.0,
"BSCS","","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 8+",8.8,false,"EXPERT 13",13.3,false,"INFERNO 0",0.0,
"Popping Happiness!","","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 8",8.5,false,"EXPERT 12",12.4,false,"INFERNO 0",0.0,
"Madwing","","HARDCORE TANO*C","NORMAL 5",5.0,false,"HARD 9+",9.9,false,"EXPERT 12+",12.8,false,"INFERNO 0",0.0,
"TRICKL4SH 220","TRICKLASH 220","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 10+",10.9,false,"EXPERT 13+",13.8,false,"INFERNO 0",0.0,
"SHAKE!","","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 9",9.5,false,"EXPERT 12+",12.7,false,"INFERNO 0",0.0,
"DUAL BREAKER XX","","HARDCORE TANO*C","NORMAL 6",6.0,false,"HARD 10+",10.8,false,"EXPERT 13+",13.8,false,"INFERNO 0",0.0,
"Megaton Killer","","HARDCORE TANO*C","NORMAL 5",5.0,false,"HARD 10",10.0,false,"EXPERT 13",13.6,false,"INFERNO 0",0.0,
"ATAMA WARUI","","HARDCORE TANO*C","NORMAL 5",5.0,false,"HARD 9",9.1,false,"EXPERT 12+",12.9,false,"INFERNO 0",0.0,
"Liberate","","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 9",9.5,false,"EXPERT 13",13.1,false,"INFERNO 0",0.0,
"Animosity","","HARDCORE TANO*C","NORMAL 6",6.0,false,"HARD 10+",10.9,false,"EXPERT 13+",13.8,false,"INFERNO 0",0.0,
"Big Bang","","HARDCORE TANO*C","NORMAL 7",7.0,false,"HARD 11",11.0,false,"EXPERT 14",14.0,false,"INFERNO 0",0.0,
"恋メタル","Koi Metal","HARDCORE TANO*C","NORMAL 3",3.0,false,"HARD 8+",8.8,false,"EXPERT 12+",12.7,false,"INFERNO 0",0.0,
"はげしこの夜 -Psylent Crazy Night-","Hageshi kono yoru -Psylent Crazy Night-","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 8+",8.8,false,"EXPERT 13+",13.7,false,"INFERNO 0",0.0,
"パニックポップ☆フェスティバル!!!","Panic Pop Festival!!!","HARDCORE TANO*C","NORMAL 5",5.0,false,"HARD 10",10.0,false,"EXPERT 13",13.3,false,"INFERNO 0",0.0,
"Stasis feat.motoko -WACCA EDiT-","","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 7+",7.9,false,"EXPERT 12+",12.7,false,"INFERNO 0",0.0,
"RAV#GIRL","RAVEGIRL","HARDCORE TANO*C","NORMAL 3",3.0,false,"HARD 7+",7.8,false,"EXPERT 12",12.6,false,"INFERNO 0",0.0,
"KALACAKLA","KALACAKRA","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 8",8.0,false,"EXPERT 12+",12.7,false,"INFERNO 0",0.0,
"Poppin' Shower","","HARDCORE TANO*C","NORMAL 3",3.0,false,"HARD 9+",9.8,false,"EXPERT 12",12.5,false,"INFERNO 0",0.0,
"While Shining feat.Yukacco","","HARDCORE TANO*C","NORMAL 3",3.0,false,"HARD 8",8.6,false,"EXPERT 12",12.3,false,"INFERNO 0",0.0,
"ALiVE","","HARDCORE TANO*C","NORMAL 3",3.0,false,"HARD 7+",7.8,false,"EXPERT 11",11.0,false,"INFERNO 0",0.0,
"ONOMATO Pairing!!!","","HARDCORE TANO*C","NORMAL 2",2.0,false,"HARD 8",8.5,false,"EXPERT 12",12.4,false,"INFERNO 0",0.0,
"SUPER REACTOR","","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 8",8.2,false,"EXPERT 13",13.0,false,"INFERNO 0",0.0,
"GENOCIDER","","HARDCORE TANO*C","NORMAL 6",6.0,false,"HARD 11",11.0,false,"EXPERT 14",14.1,false,"INFERNO 0",0.0,
"ツアー・ファイナル","Tour Final","HARDCORE TANO*C","NORMAL 3",3.0,false,"HARD 9",9.4,false,"EXPERT 12",12.3,false,"INFERNO 0",0.0,
"Metamorphose","","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 10",10.3,false,"EXPERT 12+",12.7,false,"INFERNO 0",0.0,
"MAGiC4LG1RL M3GA S7R1KE!","MAGiCALGiRL MEGA STRiKE!","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 10",10.0,false,"EXPERT 13",13.1,false,"INFERNO 0",0.0,
"METEOR BURST","","HARDCORE TANO*C","NORMAL 5",5.0,false,"HARD 10+",10.9,false,"EXPERT 13+",13.8,false,"INFERNO 0",0.0,
"XTREME","","HARDCORE TANO*C","NORMAL 6",6.0,false,"HARD 11",11.0,false,"EXPERT 12+",12.9,false,"INFERNO 14",14.0,false
"天使光輪","Tenshi Korin","HARDCORE TANO*C","NORMAL 7",7.0,false,"HARD 11",11.0,false,"EXPERT 13",13.2,false,"INFERNO 14",14.1,false
"Ultra Red","","HARDCORE TANO*C","NORMAL 3",3.0,false,"HARD 9",9.6,false,"EXPERT 12+",12.8,false,"INFERNO 0",0.0,
"サイクルヒット","Cycle Hit","HARDCORE TANO*C","NORMAL 5",5.0,false,"HARD 10",10.5,false,"EXPERT 13",13.5,false,"INFERNO 0",0.0,
"Strange Bar","","HARDCORE TANO*C","NORMAL 3",3.0,false,"HARD 10",10.2,false,"EXPERT 12+",12.8,false,"INFERNO 0",0.0,
"Murasaki","","HARDCORE TANO*C","NORMAL 3",3.0,false,"HARD 7",7.5,false,"EXPERT 12",12.4,false,"INFERNO 0",0.0,
"Mazy Metroplex","","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 10+",10.8,false,"EXPERT 13+",13.7,false,"INFERNO 0",0.0,
"LOSE CONTROL","","HARDCORE TANO*C","NORMAL 3",3.0,false,"HARD 8",8.1,false,"EXPERT 11",11.3,false,"INFERNO 0",0.0,
"†DOOF†SENC†","","HARDCORE TANO*C","NORMAL 6",6.0,false,"HARD 10",10.4,false,"EXPERT 13",13.6,false,"INFERNO 0",0.0,
"Shiny Memory feat.Yukacco","","HARDCORE TANO*C","NORMAL 3",3.0,false,"HARD 9+",9.8,false,"EXPERT 12",12.5,false,"INFERNO 0",0.0,
"BLVST BEVT","BLAST BEAT","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 10",10.0,false,"EXPERT 12",12.6,false,"INFERNO 0",0.0,
"JINGLE DEATH","","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 10",10.4,false,"EXPERT 13",13.2,false,"INFERNO 0",0.0,
"Invisible Frenzy","","HARDCORE TANO*C","NORMAL 7",7.0,false,"HARD 11",11.0,false,"EXPERT 14",14.0,false,"INFERNO 0",0.0,
"VOX Diamond","","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 7+",7.9,false,"EXPERT 12",12.6,false,"INFERNO 0",0.0,
"Chariot","","HARDCORE TANO*C","NORMAL 3",3.0,false,"HARD 8",8.6,false,"EXPERT 12",12.4,false,"INFERNO 0",0.0,
"Akareram","","HARDCORE TANO*C","NORMAL 3",3.0,false,"HARD 8",8.5,false,"EXPERT 11+",11.7,false,"INFERNO 0",0.0,
"Galaxy Friends","","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 8+",8.9,false,"EXPERT 12+",12.7,false,"INFERNO 0",0.0,
"13 Donkeys","","HARDCORE TANO*C","NORMAL 2",2.0,false,"HARD 8",8.4,false,"EXPERT 12",12.2,false,"INFERNO 0",0.0,
"ADAM","","HARDCORE TANO*C","NORMAL 5",5.0,false,"HARD 10",10.2,false,"EXPERT 13",13.4,false,"INFERNO 0",0.0,
"ATARAX1A","ATARAXiA","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 8",8.6,false,"EXPERT 12",12.5,false,"INFERNO 0",0.0,
"HiGHER","","HARDCORE TANO*C","NORMAL 3",3.0,false,"HARD 8",8.5,false,"EXPERT 12",12.2,false,"INFERNO 0",0.0,
"Source of Creation","","HARDCORE TANO*C","NORMAL 3",3.0,false,"HARD 8",8.1,false,"EXPERT 11",11.3,false,"INFERNO 0",0.0,
"Exitium","","HARDCORE TANO*C","NORMAL 6",6.0,false,"HARD 11",11.0,false,"EXPERT 14",14.1,false,"INFERNO 0",0.0,
"Blaze","","HARDCORE TANO*C","NORMAL 3",3.0,false,"HARD 8+",8.7,false,"EXPERT 11+",11.7,false,"INFERNO 0",0.0,
"GRiDGALAXY","","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 8",8.3,false,"EXPERT 11",11.5,false,"INFERNO 0",0.0,
"Jingle","","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 9+",9.7,false,"EXPERT 11",11.3,false,"INFERNO 0",0.0,
"BATTLE NO.1","","HARDCORE TANO*C","NORMAL 6",6.0,false,"HARD 10",10.5,false,"EXPERT 13+",13.7,false,"INFERNO 14",14.1,true
"LEVATEiN feat. 野宮あゆみ","LEVATEiN feat. Nomiya Ayumi","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 9",9.1,false,"EXPERT 12",12.5,false,"INFERNO 0",0.0,
"BIG HEAD BANGING","","HARDCORE TANO*C","NORMAL 6",6.0,false,"HARD 11",11.0,false,"EXPERT 13+",13.8,false,"INFERNO 0",0.0,
"Knight Rider","","HARDCORE TANO*C","NORMAL 6",6.0,false,"HARD 10+",10.9,false,"EXPERT 13",13.3,false,"INFERNO 0",0.0,
"PARALLEL★PRISM","","HARDCORE TANO*C","NORMAL 3",3.0,false,"HARD 7+",7.7,false,"EXPERT 10+",10.8,false,"INFERNO 0",0.0,
"Rainbow Dream","","HARDCORE TANO*C","NORMAL 3",3.0,false,"HARD 8+",8.7,false,"EXPERT 11",11.4,false,"INFERNO 0",0.0,
"Quon","","HARDCORE TANO*C","NORMAL 5",5.0,false,"HARD 10",10.6,false,"EXPERT 12+",12.8,false,"INFERNO 13+",13.9,false
"Poseidon","","HARDCORE TANO*C","NORMAL 5",5.0,false,"HARD 9+",9.9,false,"EXPERT 13+",13.8,false,"INFERNO 0",0.0,
"HELL FLAME","","HARDCORE TANO*C","NORMAL 5",5.0,false,"HARD 10",10.4,false,"EXPERT 12+",12.7,false,"INFERNO 13+",13.9,true
"Gate One","","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 9",9.5,false,"EXPERT 12",12.0,false,"INFERNO 0",0.0,
"Over My Hand","","HARDCORE TANO*C","NORMAL 3",3.0,false,"HARD 9",9.2,false,"EXPERT 11",11.1,false,"INFERNO 0",0.0,
"Are You Ready","","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 10",10.1,false,"EXPERT 12",12.5,false,"INFERNO 0",0.0,
"MEMORiZE","","HARDCORE TANO*C","NORMAL 3",3.0,false,"HARD 8",8.1,false,"EXPERT 10",10.0,false,"INFERNO 0",0.0,
"illanai-assorted","","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 8+",8.9,false,"EXPERT 12+",12.9,false,"INFERNO 0",0.0,
"Sunshine","","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 8",8.2,false,"EXPERT 11",11.3,false,"INFERNO 0",0.0,
"BOOM! BOOM!! BOOM!!!","","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 10",10.6,false,"EXPERT 12",12.3,false,"INFERNO 0",0.0,
"Ever Free(Raw Edit)","","HARDCORE TANO*C","NORMAL 3",3.0,false,"HARD 8",8.3,false,"EXPERT 10",10.1,false,"INFERNO 0",0.0,
"Try again","","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 8+",8.8,false,"EXPERT 10",10.6,false,"INFERNO 0",0.0,
"BLUE SKY feat. 野宮あゆみ","BLUE SKY feat. Nomiya Ayumi","HARDCORE TANO*C","NORMAL 3",3.0,false,"HARD 7",7.6,false,"EXPERT 10",10.4,false,"INFERNO 0",0.0,
"Sound Chimera","","HARDCORE TANO*C","NORMAL 5",5.0,false,"HARD 10+",10.8,false,"EXPERT 12+",12.8,false,"INFERNO 13+",13.9,false
"Soldiers","","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 8+",8.8,false,"EXPERT 11+",11.9,false,"INFERNO 0",0.0,
"Fight for the CORE feat. Daisuke","","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 10+",10.7,false,"EXPERT 12",12.6,false,"INFERNO 0",0.0,
"Shining Harmony","","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 9",9.6,false,"EXPERT 12",12.2,false,"INFERNO 0",0.0,