song_order,song_id,song_title,song_title_initial,song_category,song_category_label,song_has_data,chart_expert_lebel,chart_expert_constant,chart_expert_is_new,song_has_inferno,chart_inferno_lebel,chart_inferno_constant,chart_inferno_is_new
1,2204,叩ケ 叩ケ 手ェ叩ケ,た,1,アニメ／POP,true,12,12.3,true,false,,,
2,2228,Fly to NEW WORLD,F,1,アニメ／POP,true,12,12.2,true,false,,,
3,2227,透明声彩,た,1,アニメ／POP,true,11+,11.8,true,false,,,
4,3023,うっせぇわ,あ,1,アニメ／POP,true,12,12.2,true,false,,,
5,3003,Fam☆Fam☆Time!,F,1,アニメ／POP,true,11+,11.9,true,false,,,
6,2253,cœur,C,1,アニメ／POP,true,12+,12.7,false,false,,,
7,2254,私はNo 1！,わ,1,アニメ／POP,true,12,12.3,false,false,,,
8,2252,ソロモン・ナイト,さ,1,アニメ／POP,true,13,13.4,false,false,,,
9,2243,LOVE!HUG!GROOVY!!,L,1,アニメ／POP,true,12,12.4,false,true,13,13.5,false
10,2244,Dig Delight!,D,1,アニメ／POP,true,11,11.4,false,false,,,
11,2245,電乱★カウントダウン,た,1,アニメ／POP,true,12,12.5,false,false,,,
12,2246,Photon Melodies,P,1,アニメ／POP,true,11,11.5,false,false,,,
13,2251,ぐるぐるDJ TURN!!,か,1,アニメ／POP,true,12+,12.8,false,false,,,
14,2058,sister's noise,S,1,アニメ／POP,true,10,10.1,false,false,,,
15,2202,なだめスかし Negotiation,な,1,アニメ／POP,true,11+,11.9,false,false,,,
16,1219,サクリファイス,さ,1,アニメ／POP,true,12,12.2,false,false,,,
17,2203,非実在系女子たちはどうすりゃいいですか？,は,1,アニメ／POP,true,12,12.6,false,false,,,
18,2021,ぺこみこ大戦争！！,は,1,アニメ／POP,true,11,11.2,false,true,13,13.2,false
19,2024,Say!ファンファーレ!,S,1,アニメ／POP,true,12,12.5,false,false,,,
20,2067,NEXT COLOR PLANET,N,1,アニメ／POP,true,12,12.6,false,false,,,
21,2066,夢見る空へ,や,1,アニメ／POP,true,11,11.3,false,false,,,
22,1204,お願いマッスル,あ,1,アニメ／POP,true,10+,10.7,false,false,,,
23,2043,マッチョアネーム？,ま,1,アニメ／POP,true,12+,12.7,false,false,,,
24,2068,HELLO to DREAM,H,1,アニメ／POP,true,9+,9.7,false,false,,,
25,2069,over and over,O,1,アニメ／POP,true,10,10.4,false,false,,,
26,2084,トロピカッ☆バケーション,た,1,アニメ／POP,true,10+,10.7,false,false,,,
27,2001,秒針を噛む,は,1,アニメ／POP,true,11,11.0,false,false,,,
28,1020,ないものねだり,な,1,アニメ／POP,true,11,11.1,false,false,,,
29,1008,HOT LIMIT,H,1,アニメ／POP,true,10,10.0,false,false,,,
30,2023,キラメキライダー☆,か,1,アニメ／POP,true,11,11.5,false,false,,,
31,2002,ガヴリールドロップキック,か,1,アニメ／POP,true,11,11.0,false,false,,,
32,2003,This game,T,1,アニメ／POP,true,10+,10.7,false,false,,,
33,1264,RAGE OF DUST,R,1,アニメ／POP,true,9,9.6,false,false,,,
34,2030,Make it！,M,1,アニメ／POP,true,9,9.4,false,false,,,
35,2028,Make it！ (DJ Genki Remix),M,1,アニメ／POP,true,11,11.6,false,false,,,
36,2031,キラッとスタート,か,1,アニメ／POP,true,10,10.2,false,false,,,
37,2027,キラッとスタート (USAO Remix),か,1,アニメ／POP,true,12,12.5,false,false,,,
38,2029,ハート♥イロ♥トリドリ〜ム,は,1,アニメ／POP,true,10,10.1,false,false,,,
39,1206,ダダダダ天使,た,1,アニメ／POP,true,12,12.0,false,false,,,
40,1205,青空のラプソディ,あ,1,アニメ／POP,true,9,9.3,false,false,,,
41,1238,Bravely You,B,1,アニメ／POP,true,9,9.5,false,false,,,
42,1236,ぼなぺてぃーと♡S,は,1,アニメ／POP,true,11,11.5,false,false,,,
43,1237,デタラメなマイナスとプラスにおけるブレンド考,た,1,アニメ／POP,true,10,10.0,false,false,,,
44,1092,輪廻転生,ら,1,アニメ／POP,true,12,12.3,false,false,,,
45,1114,ストライク・ザ・ブラッド,さ,1,アニメ／POP,true,11+,11.7,false,false,,,
46,1021,新宝島,さ,1,アニメ／POP,true,9,9.4,false,false,,,
47,1203,U.S.A.,U,1,アニメ／POP,true,10,10.2,false,false,,,
48,1269,Shiny Smily Story,S,1,アニメ／POP,true,10,10.4,false,false,,,
49,1270,Dream☆Story,D,1,アニメ／POP,true,11,11.2,false,false,,,
50,1273,without U,W,1,アニメ／POP,true,10,10.2,false,false,,,
51,1218,シャルル,さ,1,アニメ／POP,true,10,10.3,false,false,,,
52,1217,ドラマツルギー,た,1,アニメ／POP,true,10,10.1,false,false,,,
53,1113,オドループ,あ,1,アニメ／POP,true,10,10.4,false,false,,,
54,1009,only my railgun,O,1,アニメ／POP,true,9,9.5,false,false,,,
55,1004,You Only Live Once,Y,1,アニメ／POP,true,9,9.1,false,false,,,
56,1091,残酷な天使のテーゼ,さ,1,アニメ／POP,true,9,9.3,false,false,,,
57,1018,ただ君に晴れ,た,1,アニメ／POP,true,9,9.6,false,false,,,
58,1097,The Light,T,1,アニメ／POP,true,12,12.1,false,false,,,
59,1098,AIAIAI (feat. 中田ヤスタカ),A,1,アニメ／POP,true,9,9.4,false,false,,,
60,1109,"Hello, Morning",H,1,アニメ／POP,true,11,11.2,false,false,,,
61,1124,Raise Your Heart!!,R,1,アニメ／POP,true,10,10.6,false,false,,,
62,1125,SHINY DAYS,S,1,アニメ／POP,true,9,9.0,false,false,,,
63,1026,EXCITE,E,1,アニメ／POP,true,10,10.0,false,false,,,
64,8,シュガーソングとビターステップ,さ,1,アニメ／POP,true,10,10.4,false,false,,,
65,23,ファティマ,は,1,アニメ／POP,true,9,9.5,false,false,,,
66,26,回レ！雪月花,ま,1,アニメ／POP,true,11,11.0,false,false,,,
67,9,ピースサイン,は,1,アニメ／POP,true,9+,9.8,false,false,,,
68,1006,徒花ネクロマンシー,た,1,アニメ／POP,true,9+,9.7,false,false,,,
69,1011,ようこそジャパリパークへ,や,1,アニメ／POP,true,10+,10.7,false,false,,,
70,1010,POP TEAM EPIC,P,1,アニメ／POP,true,11,11.4,false,false,,,
71,1095,ファッとして桃源郷,は,1,アニメ／POP,true,12,12.0,false,false,,,
72,1088,Nameless Story,N,1,アニメ／POP,true,10,10.3,false,false,,,
73,1089,TOMORROW,T,1,アニメ／POP,true,10,10.4,false,false,,,
74,1090,五等分の気持ち,か,1,アニメ／POP,true,9+,9.9,false,false,,,
75,1027,ギミチョコ!!,か,1,アニメ／POP,true,12+,12.9,false,false,,,
76,1017,ウマーベラス,あ,1,アニメ／POP,true,9+,9.8,false,false,,,
77,3005,KING,K,2,ボカロ,true,11,11.6,true,false,,,
78,3006,ダーリンダンス,た,2,ボカロ,true,12+,12.8,true,false,,,
79,2239,トリノコシティ,た,2,ボカロ,true,12,12.2,true,false,,,
80,3007,サマータイムレコード,さ,2,ボカロ,true,11+,11.9,,false,,,
81,2205,テレキャスタービーボーイ,た,2,ボカロ,true,11+,11.9,false,false,,,
82,2215,フィクサー,は,2,ボカロ,true,12+,12.9,false,false,,,
83,2214,バレリーコ,は,2,ボカロ,true,11,11.6,false,false,,,
84,2216,だれかの心臓になれたなら,た,2,ボカロ,true,12,12.1,false,false,,,
85,1209,六兆年と一夜物語,ら,2,ボカロ,true,12,12.5,false,false,,,
86,2076,ワールドイズマイン,わ,2,ボカロ,true,11,11.6,false,false,,,
87,1239,進捗どうですか！,さ,2,ボカロ,true,12+,12.8,false,false,,,
88,2077,ぼくらの16bit戦争,は,2,ボカロ,true,13,13.4,false,false,,,
89,2078,隔絶≡タナトス,か,2,ボカロ,true,13,13.5,false,false,,,
90,2032,アスノヨゾラ哨戒班,あ,2,ボカロ,true,11+,11.9,false,false,,,
91,2033,ヒビカセ,は,2,ボカロ,true,12,12.3,false,false,,,
92,2034,脳漿炸裂ガール,な,2,ボカロ,true,13,13.5,false,false,,,
93,2004,ポジティブ☆ダンスタイム,は,2,ボカロ,true,11,11.6,false,false,,,
94,2005,Gimme×Gimme feat. 初音ミク・鏡音リン,G,2,ボカロ,true,12,12.0,false,false,,,
95,2006,39みゅーじっく！,数字,2,ボカロ,true,10+,10.9,false,false,,,
96,1224,ブリキノダンス,は,2,ボカロ,true,12,12.3,false,false,,,
97,1244,チュルリラ・チュルリラ・ダッダッダ！,た,2,ボカロ,true,12,12.4,false,false,,,
98,1245,おばけのウケねらい,あ,2,ボカロ,true,11+,11.7,false,false,,,
99,1246,ベノム,は,2,ボカロ,true,12,12.1,false,false,,,
100,1031,リアル初音ミクの消失,ら,2,ボカロ,true,13+,13.7,false,false,,,
101,1221,セツナトリップ,さ,2,ボカロ,true,12,12.1,false,false,,,
102,1222,カゲロウデイズ,か,2,ボカロ,true,11,11.3,false,false,,,
103,1272,天ノ弱,あ,2,ボカロ,true,10,10.1,false,false,,,
104,1013,ゴーストルール,か,2,ボカロ,true,11,11.6,false,false,,,
105,1207,ロストワンの号哭,ら,2,ボカロ,true,12,12.2,false,false,,,
106,1208,いーあるふぁんくらぶ,あ,2,ボカロ,true,10,10.0,false,false,,,
107,1030,初音ミクの消失,は,2,ボカロ,true,13+,13.8,false,false,,,
108,1042,劣等上等,ら,2,ボカロ,true,11+,11.9,false,false,,,
109,1037,アカリがやってきたぞっ,あ,2,ボカロ,true,11,11.2,false,false,,,
110,1016,太陽系デスコ,た,2,ボカロ,true,10+,10.7,false,false,,,
111,1015,気まぐれメルシィ feat. 初音ミク,か,2,ボカロ,true,10,10.5,false,false,,,
112,1093,幸せになれる隠しコマンドがあるらしい,さ,2,ボカロ,true,13,13.3,false,false,,,
113,7,千本桜,さ,2,ボカロ,true,10,10.4,false,false,,,
114,27,エイリアンエイリアン,あ,2,ボカロ,true,10,10.5,false,false,,,
115,30,砂の惑星 feat. 初音ミク,さ,2,ボカロ,true,10,10.5,false,false,,,
116,31,マトリョシカ,ま,2,ボカロ,true,10,10.4,false,false,,,
117,1036,Seyana. ～何でも言うことを聞いてくれるアカネチャン～,S,2,ボカロ,true,11+,11.7,false,false,,,
118,1041,フラジール,は,2,ボカロ,true,10,10.3,false,false,,,
119,1014,ロキ,ら,2,ボカロ,true,11,11.6,false,false,,,
120,1035,ウミユリ海底譚,あ,2,ボカロ,true,10,10.2,false,false,,,
121,1100,スクランブル交際,さ,2,ボカロ,true,11,11.0,false,false,,,
122,1099,乙女解剖,あ,2,ボカロ,true,9,9.2,false,false,,,
123,3029,Crime Wave,C,3,東方アレンジ,true,12+,12.7,true,false,,,
124,2222,チルノは覚醒サマーデイズ！,た,3,東方アレンジ,true,12,12.3,false,false,,,
125,2223,エピクロスの虹はもう見えない,あ,3,東方アレンジ,true,11,11.3,false,false,,,
126,2224,ARROW RAIN feat.ayame,A,3,東方アレンジ,true,12,12.6,false,false,,,
127,2225,四次元跳躍機関,や,3,東方アレンジ,true,12+,12.7,false,false,,,
128,2226,Destructive Little Sister,D,3,東方アレンジ,true,13+,13.9,false,false,,,
129,2039,物凄い勢いでけーねが物凄いうた,ま,3,東方アレンジ,true,12,12.2,false,false,,,
130,2038,患部で止まってすぐ溶ける ～ 狂気の優曇華院,か,3,東方アレンジ,true,13,13.2,false,false,,,
131,2206,Scream out!,S,3,東方アレンジ,true,12+,12.8,false,false,,,
132,2092,ホイホイ☆幻想ホロイズム,は,3,東方アレンジ,true,12+,12.7,false,false,,,
133,2042,"Help me, ERINNNNNN!!",H,3,東方アレンジ,true,11,11.6,false,false,,,
134,1240,進捗どうですか？,さ,3,東方アレンジ,true,12,12.5,false,false,,,
135,2040,Sweet Requiem,S,3,東方アレンジ,true,12+,12.7,false,false,,,
136,2008,明星ロケット,あ,3,東方アレンジ,true,11+,11.7,false,false,,,
137,2007,ゆけむり魂温泉 II,や,3,東方アレンジ,true,12,12.0,false,false,,,
138,2009,Calamity Fortune,C,3,東方アレンジ,true,13+,13.7,false,false,,,
139,1226,ケロ⑨Destiny,か,3,東方アレンジ,true,11+,11.7,false,false,,,
140,1274,風に乗せた願い,か,3,東方アレンジ,true,10,10.3,false,false,,,
141,1227,LOVE EAST,L,3,東方アレンジ,true,11,11.0,false,false,,,
142,1228,天狗の落とし文 feat. ytr,た,3,東方アレンジ,true,12,12.1,false,false,,,
143,1229,神寂,か,3,東方アレンジ,true,13,13.5,false,false,,,
144,1210,悪戯センセーション,あ,3,東方アレンジ,true,12,12.3,false,false,,,
145,1265,ナイト・オブ・ナイツ (かめりあ’s“ワンス・アポン・ア・ナイト”Remix),な,3,東方アレンジ,true,13,13.1,false,false,,,
146,1211,Mami Mami Zone,M,3,東方アレンジ,true,11,11.4,false,false,,,
147,1107,チルノのパーフェクトさんすう教室,た,3,東方アレンジ,true,11,11.5,false,false,,,
148,1118,待チ人ハ来ズ。,ま,3,東方アレンジ,true,10,10.5,false,false,,,
149,1108,taboo tears you up 2017,T,3,東方アレンジ,true,12,12.4,false,false,,,
150,1001,Bad Apple!! feat. nomico,B,3,東方アレンジ,true,9,9.3,false,false,,,
151,1002,ナイト・オブ・ナイツ,な,3,東方アレンジ,true,12,12.0,false,false,,,
152,1119,WARNING×WARNING×WARNING,W,3,東方アレンジ,true,11,11.5,false,false,,,
153,2075,シャカリキ・ファイト・ブンブン,さ,4,2.5次元,true,11+,11.7,false,false,,,
154,2065,ニュー・ウェーブ,な,4,2.5次元,true,9,9.3,false,false,,,
155,1102,ガンガン・ドンドン,か,4,2.5次元,true,9+,9.7,false,false,,,
156,1278,スマイル・アンド・ティアズ,さ,4,2.5次元,true,9,9.5,false,false,,,
157,1279,STILL HOT IN MY HEART,S,4,2.5次元,true,10,10.3,false,false,,,
158,1126,Over the sweat and tears,O,4,2.5次元,true,9,9.4,false,false,,,
159,10,Singin'☆Shine！,S,4,2.5次元,true,9,9.6,false,false,,,
160,3017,Avant Raze,A,5,バラエティ,true,12,12.6,true,false,,,
161,3018,#1f1e33,記号,5,バラエティ,true,13+,13.9,true,false,,,
162,3019,Arcahv,A,5,バラエティ,true,13,13.6,true,false,,,
163,3020,最強STRONGER,さ,5,バラエティ,true,14,14.0,true,false,,,
164,3022,Let you DIVE! (nitro rmx),L,5,バラエティ,true,12+,12.8,true,false,,,
165,3021,Sheriruth (Laur Remix),S,5,バラエティ,true,13,13.3,true,false,,,
166,2256,さんさーら！,さ,5,バラエティ,true,12,12.4,false,false,,,
167,2229,Night Club Junkie,N,5,バラエティ,true,12,12.5,false,false,,,
168,2085,PUPA,P,5,バラエティ,true,13+,13.7,false,false,,,
169,2217,Destr0yer,D,5,バラエティ,true,13,13.0,false,false,,,
170,2218,もぺもぺ,ま,5,バラエティ,true,12+,12.7,false,false,,,
171,2207,MAGENTA POTION,M,5,バラエティ,true,12,12.6,false,false,,,
172,1241,進捗WARS feat．ビートまりお,さ,5,バラエティ,true,11,11.5,false,false,,,
173,2080,Apocalypse,A,5,バラエティ,true,12,12.4,false,false,,,
174,2082,You are the Miserable,Y,5,バラエティ,true,13+,13.9,false,false,,,
175,2083,Stasis,S,5,バラエティ,true,13,13.6,false,false,,,
176,2081,Rainmaker,R,5,バラエティ,true,13,13.5,false,false,,,
177,2079,Weg,W,5,バラエティ,true,12,12.3,false,false,,,
178,2071,From Zero feat. 利香,F,5,バラエティ,true,11+,11.8,false,false,,,
179,2072,PRESS START!,P,5,バラエティ,true,12+,12.7,false,false,,,
180,2073,TWISTSTEP,T,5,バラエティ,true,12+,12.7,false,false,,,
181,2074,Future Cαndy,F,5,バラエティ,true,12+,12.7,false,false,,,
182,2059,Fish Fight!,F,5,バラエティ,true,11,11.6,false,false,,,
183,2060,THERAPY,T,5,バラエティ,true,12+,12.7,false,false,,,
184,2090,グルーヴ・ザ・ハート,か,5,バラエティ,true,12,12.5,false,false,,,
185,2089,Got more raves?,G,5,バラエティ,true,13,13.5,false,false,,,
186,2088,"Good Night, Bad Luck.",G,5,バラエティ,true,13+,13.7,false,false,,,
187,2010,Grayed Out-Antifront-,G,5,バラエティ,true,13,13.2,false,false,,,
188,2011,インドア系ならトラックメイカー,あ,5,バラエティ,true,12+,12.9,false,false,,,
189,1254,ダンシング☆サムライ,た,5,バラエティ,true,10,10.5,false,false,,,
190,1255,WHITE,W,5,バラエティ,true,10,10.5,false,false,,,
191,1116,Brain Power,B,5,バラエティ,true,13,13.0,false,false,,,
192,1261,聖者の鼓動,さ,5,バラエティ,true,12,12.4,false,false,,,
193,1263,BUCHiGiRE Berserker,B,5,バラエティ,true,13+,13.9,false,false,,,
194,1260,君のStarlight Road,か,5,バラエティ,true,10,10.3,false,false,,,
195,1262,FUJIN Rumble,F,5,バラエティ,true,13,13.6,false,false,,,
196,1232,Eyes on me feat. Such,E,5,バラエティ,true,12,12.4,false,false,,,
197,1242,GOODWORLD,G,5,バラエティ,true,12,12.6,false,false,,,
198,1243,Altale,A,5,バラエティ,true,12,12.3,false,false,,,
199,1215,ベースラインやってる？笑,は,5,バラエティ,true,12,12.2,false,false,,,
200,1216,EU over Progress,E,5,バラエティ,true,12+,12.7,false,false,,,
201,1115,燐廻,ら,5,バラエティ,true,11,11.1,false,false,,,
202,1047,『エキセントリック少年ボウイ』のテーマ,え,5,バラエティ,true,12,12.6,false,false,,,
203,1045,Jägermeister,J,5,バラエティ,true,11,11.2,false,false,,,
204,1050,What's this?,W,5,バラエティ,true,10,10.2,false,false,,,
205,1111,FREEDOM DiVE↓,F,5,バラエティ,true,13+,13.9,false,false,,,
206,1127,Honey Panic!,H,5,バラエティ,true,12,12.0,false,false,,,
207,1110,Pixel Galaxy,P,5,バラエティ,true,10+,10.8,false,false,,,
208,1052,集結の華々,さ,5,バラエティ,true,10+,10.9,false,false,,,
209,1104,conflict,C,5,バラエティ,true,13,13.4,false,false,,,
210,1043,こんにちは、ARuFaです。,か,5,バラエティ,true,10,10.4,false,false,,,
211,1044,ぼくの夢、メチャクソ無限湧き,は,5,バラエティ,true,12,12.6,false,true,13+,13.8,false
212,1094,ゲームオーバー (feat. TORIENA),か,5,バラエティ,true,11+,11.7,false,false,,,
213,1051,ルーンファクトリー４スペシャルより「この想いを乗せて」,ら,5,バラエティ,true,9,9.0,false,false,,,
214,3011,Ouvertüre,O,6,オリジナル,true,13,13.3,true,false,,,
215,3012,Love Kills U,L,6,オリジナル,true,12,12.5,true,false,,,
216,3028,Kira☆Kira☆Night,K,6,オリジナル,true,12+,12.9,true,false,,,
217,3015,YOG,Y,6,オリジナル,true,13+,13.8,true,false,,,
218,2234,Lost Illusion,L,6,オリジナル,true,12+,12.7,false,false,,,
219,2230,Cauliflower,C,6,オリジナル,true,12+,12.8,false,false,,,
220,2231,Purple Skies,P,6,オリジナル,true,12,12.4,false,false,,,
221,2211,Lhaksha,L,6,オリジナル,true,12,12.5,false,false,,,
222,2210,LIN NE KRO NE feat. lasah,L,6,オリジナル,true,13+,13.7,false,false,,,
223,2053,フリーフォール,は,6,オリジナル,true,12+,12.7,false,false,,,
224,2046,猫娘,な,6,オリジナル,true,13+,13.7,false,false,,,
225,2091,QiXiN MAdN3ss 2153,Q,6,オリジナル,true,13+,13.9,false,false,,,
226,2036,ARTEMiS,A,6,オリジナル,true,13+,13.9,false,false,,,
227,2012,with U,W,6,オリジナル,true,11+,11.8,false,true,13,13.6,false
228,2013,Tell Me,T,6,オリジナル,true,11+,11.8,false,false,,,
229,1231,LETHAL;WEAPON,L,6,オリジナル,true,12+,12.9,false,false,,,
230,2014,THE MUZZLE FACING,T,6,オリジナル,true,13+,13.8,false,false,,,
231,1230,GASHATT,G,6,オリジナル,true,12,12.4,false,false,,,
232,1212,Demon's Rave,D,6,オリジナル,true,12+,12.8,false,false,,,
233,1085,jacaranda,J,6,オリジナル,true,12+,12.7,false,false,,,
234,1117,CHECKER FLAG,C,6,オリジナル,true,12+,12.9,false,false,,,
235,1122,Stratoliner,S,6,オリジナル,true,12+,12.8,false,false,,,
236,1121,Utopia feat. shully,U,6,オリジナル,true,12,12.6,false,false,,,
237,32,Let you DIVE!,L,6,オリジナル,true,11+,11.8,false,true,13,13.4,false
238,3008,Machinery of Avoid,M,8,TANO*C,true,12+,12.7,true,false,,,
239,3009,Datamania (tpz Overheat Remix),D,8,TANO*C,true,12,12.6,true,false,,,
240,3013,超MANJIラッシュ,た,7,TANO*C（オリジナル）,true,13+,13.7,true,false,,,
241,3016,Meta-Mysteria,M,7,TANO*C（オリジナル）,true,14,14.1,true,false,,,
242,2255,Eternal Ending,E,8,TANO*C,true,13,13.4,false,false,,,
243,2232,EVE,E,7,TANO*C（オリジナル）,true,13,13.1,false,false,,,
244,2235,eden,E,7,TANO*C（オリジナル）,true,13,13.3,false,true,14,14.1,false
245,2236,Silentphobia,S,7,TANO*C（オリジナル）,true,13,13.6,false,true,14,14.1,false
246,2247,やけにインザレイン feat. 小林私,や,8,TANO*C,true,13,13.1,false,false,,,
247,2248,Traveller feat.moimoi,T,8,TANO*C,true,12,12.4,false,false,,,
248,2249,FLVSH OUT,F,8,TANO*C,true,13,13.5,false,false,,,
249,2250,BSCS,B,8,TANO*C,true,13,13.3,false,false,,,
250,2219,Popping Happiness!,P,8,TANO*C,true,12,12.4,false,false,,,
251,2220,Madwing,M,8,TANO*C,true,12+,12.8,false,false,,,
252,2221,TRICKL4SH 220,T,8,TANO*C,true,13+,13.8,false,false,,,
253,2212,SHAKE!,S,7,TANO*C（オリジナル）,true,12+,12.7,false,false,,,
254,2213,DUAL BREAKER XX,D,7,TANO*C（オリジナル）,true,13+,13.8,false,false,,,
255,2208,Megaton Killer,M,8,TANO*C,true,13,13.6,false,false,,,
256,2209,ATAMA WARUI,A,8,TANO*C,true,12+,12.9,false,false,,,
257,2054,Liberate,L,7,TANO*C（オリジナル）,true,13,13.1,false,false,,,
258,2055,Animosity,A,7,TANO*C（オリジナル）,true,13+,13.8,false,false,,,
259,2056,Big Bang,B,7,TANO*C（オリジナル）,true,14,14.0,false,false,,,
260,1256,恋メタル,か,8,TANO*C,true,12+,12.7,false,false,,,
261,2062,はげしこの夜 -Psylent Crazy Night-,は,7,TANO*C（オリジナル）,true,13+,13.7,false,false,,,
262,2037,パニックポップ☆フェスティバル!!!,は,7,TANO*C（オリジナル）,true,13,13.3,false,false,,,
263,2048,Stasis feat.motoko -WACCA EDiT-,S,8,TANO*C,true,12+,12.7,false,false,,,
264,2049,RAV#GIRL,R,8,TANO*C,true,12,12.6,false,false,,,
265,2070,KALACAKLA,K,8,TANO*C,true,12+,12.7,false,false,,,
266,2047,Poppin' Shower,P,8,TANO*C,true,12,12.5,false,false,,,
267,1087,While Shining feat.Yukacco,W,8,TANO*C,true,12,12.3,false,false,,,
268,2019,ALiVE,A,8,TANO*C,true,11,11.0,false,false,,,
269,2016,ONOMATO Pairing!!!,O,7,TANO*C（オリジナル）,true,12,12.4,false,false,,,
270,2015,SUPER REACTOR,S,7,TANO*C（オリジナル）,true,13,13.0,false,false,,,
271,2017,GENOCIDER,G,7,TANO*C（オリジナル）,true,14,14.1,false,false,,,
272,1276,ツアー・ファイナル,た,8,TANO*C,true,12,12.3,false,false,,,
273,1247,Metamorphose,M,7,TANO*C（オリジナル）,true,12+,12.7,false,false,,,
274,1248,MAGiC4LG1RL M3GA S7R1KE!,M,7,TANO*C（オリジナル）,true,13,13.1,false,false,,,
275,1249,METEOR BURST,M,7,TANO*C（オリジナル）,true,13+,13.8,false,false,,,
276,1250,XTREME,X,7,TANO*C（オリジナル）,true,12+,12.9,false,true,14,14.0,false
277,1251,天使光輪,た,7,TANO*C（オリジナル）,true,13,13.2,false,true,14,14.1,false
278,1258,Ultra Red,U,8,TANO*C,true,12+,12.8,false,false,,,
279,1259,サイクルヒット,さ,8,TANO*C,true,13,13.5,false,false,,,
280,1275,Strange Bar,S,8,TANO*C,true,12+,12.8,false,false,,,
281,1213,Murasaki,M,7,TANO*C（オリジナル）,true,12,12.4,false,false,,,
282,1214,Mazy Metroplex,M,7,TANO*C（オリジナル）,true,13+,13.7,false,false,,,
283,1268,LOSE CONTROL,L,8,TANO*C,true,11,11.3,false,false,,,
284,1267,†DOOF†SENC†,D,8,TANO*C,true,13,13.6,false,false,,,
285,1086,Shiny Memory feat.Yukacco,S,8,TANO*C,true,12,12.5,false,false,,,
286,1128,BLVST BEVT,B,8,TANO*C,true,12,12.6,false,false,,,
287,1123,JINGLE DEATH,J,7,TANO*C（オリジナル）,true,13,13.2,false,false,,,
288,1061,Invisible Frenzy,I,7,TANO*C（オリジナル）,true,14,14.0,false,false,,,
289,1078,VOX Diamond,V,8,TANO*C,true,12,12.6,false,false,,,
290,1063,Chariot,C,7,TANO*C（オリジナル）,true,12,12.4,false,false,,,
291,1083,Akareram,A,8,TANO*C,true,11+,11.7,false,false,,,
292,1084,Galaxy Friends,G,8,TANO*C,true,12+,12.7,false,false,,,
293,1064,13 Donkeys,数字,7,TANO*C（オリジナル）,true,12,12.2,false,false,,,
294,1065,ADAM,A,7,TANO*C（オリジナル）,true,13,13.4,false,false,,,
295,1062,ATARAX1A,A,7,TANO*C（オリジナル）,true,12,12.5,false,false,,,
296,1077,HiGHER,H,8,TANO*C,true,12,12.2,false,false,,,
297,1080,Source of Creation,S,8,TANO*C,true,11,11.3,false,false,,,
298,1068,Exitium,E,7,TANO*C（オリジナル）,true,14,14.1,false,false,,,
299,1082,Blaze,B,8,TANO*C,true,11+,11.7,false,false,,,
300,1081,GRiDGALAXY,G,8,TANO*C,true,11,11.5,false,false,,,
301,1079,Jingle,J,8,TANO*C,true,11,11.3,false,false,,,
302,1105,BATTLE NO.1,B,8,TANO*C,true,13+,13.7,false,false,,,
303,1054,LEVATEiN feat. 野宮あゆみ,L,7,TANO*C（オリジナル）,true,12,12.5,false,false,,,
304,1055,BIG HEAD BANGING,B,7,TANO*C（オリジナル）,true,13+,13.8,false,false,,,
305,4,Knight Rider,K,7,TANO*C（オリジナル）,true,13,13.3,false,false,,,
306,6,PARALLEL★PRISM,P,7,TANO*C（オリジナル）,true,10,10.1,false,false,,,
307,3,Rainbow Dream,R,7,TANO*C（オリジナル）,true,11,11.4,false,false,,,
308,1056,Quon,Q,7,TANO*C（オリジナル）,true,12+,12.8,false,true,13+,13.9,false
309,5,Poseidon,P,7,TANO*C（オリジナル）,true,13+,13.8,false,false,,,
310,1057,HELL FLAME,H,7,TANO*C（オリジナル）,true,12+,12.7,false,true,13+,13.9,true
311,1058,Gate One,G,7,TANO*C（オリジナル）,true,12,12.0,false,false,,,
312,1060,Over My Hand,O,7,TANO*C（オリジナル）,true,11,11.1,false,false,,,
313,1059,Are You Ready,A,7,TANO*C（オリジナル）,true,12,12.5,false,false,,,
314,20,MEMORiZE,M,8,TANO*C,true,10,10.0,false,false,,,
315,21,illanai-assorted,I,8,TANO*C,true,12+,12.9,false,false,,,
316,1069,Sunshine,S,8,TANO*C,true,11,11.3,false,false,,,
317,1072,BOOM! BOOM!! BOOM!!!,B,8,TANO*C,true,12,12.3,false,false,,,
318,1071,Ever Free(Raw Edit),E,8,TANO*C,true,10,10.1,false,false,,,
319,1070,Try again,T,8,TANO*C,true,10,10.6,false,false,,,
320,1073,BLUE SKY feat. 野宮あゆみ,B,8,TANO*C,true,10,10.4,false,false,,,
321,1076,Sound Chimera,S,8,TANO*C,true,12+,12.8,false,true,13+,13.9,false
322,24,Soldiers,S,8,TANO*C,true,11+,11.9,false,false,,,
323,25,Fight for the CORE feat. Daisuke,F,8,TANO*C,true,12,12.6,false,false,,,
324,1101,Shining Harmony,S,8,TANO*C,true,12,12.2,false,false,,,